Id,Sales
1,0
2,0
3,23
4,23
5,35
6,103
7,119
8,119
9,119
10,137
11,137
12,137
13,137
14,137
15,137
16,137
17,162
18,162
19,181
20,181
21,270
22,287
23,287
24,287
25,287
26,287
27,287
28,287
29,286
30,286
31,286
32,286
33,304
34,304
35,342
36,342
37,372
38,372
39,372
40,410
41,410
42,485
43,538
44,561
45,587
46,587
47,602
48,602
49,609
50,609
51,609
52,609
53,607
54,627
55,627
56,627
57,627
58,591
59,591
60,598
61,598
62,689
63,685
64,678
65,635
66,637
67,660
68,612
69,597
70,641
71,648
72,652
73,688
74,711
75,711
76,784
77,704
78,738
79,762
80,736
81,753
82,962
83,952
84,1033
85,1023
86,1023
87,1146
88,1195
89,1140
90,1066
91,1062
92,1137
93,1171
94,1149
95,1284
96,1342
97,1329
98,1281
99,1298
100,1309
101,1347
102,1294
103,1280
104,1322
105,1384
106,1384
107,1384
108,1384
109,1361
110,1361
111,1247
112,1413
113,1480
114,1480
115,1557
116,1557
117,1536
118,1536
119,1438
120,1526
121,1915
122,1690
123,1690
124,1765
125,1569
126,1612
127,1586
128,1786
129,1797
130,1779
131,1719
132,1739
133,1728
134,1761
135,1655
136,1802
137,1773
138,1676
139,1651
140,1656
141,1659
142,1703
143,1676
144,1609
145,1588
146,1661
147,1681
148,1673
149,1650
150,1625
151,1491
152,1437
153,1694
154,1699
155,1723
156,1711
157,1762
158,1634
159,1835
160,1791
161,1855
162,1836
163,1852
164,1854
165,1831
166,1922
167,1933
168,1988
169,2016
170,2237
171,2324
172,1953
173,2029
174,2276
175,2367
176,2367
177,2431
178,2435
179,2445
180,2507
181,3170
182,2663
183,2728
184,2728
185,2732
186,2683
187,2532
188,2442
189,2662
190,2754
191,2784
192,3067
193,2849
194,2908
195,2832
196,2804
197,2808
198,2913
199,2898
200,2956
201,3023
202,3220
203,3201
204,3068
205,3012
206,3079
207,2851
208,2630
209,2578
210,2578
211,2546
212,2093
213,2093
214,2093
215,2160
216,2221
217,2937
218,2894
219,2813
220,2823
221,2942
222,2989
223,2843
224,2902
225,2826
226,3486
227,3349
228,3183
229,3659
230,3540
231,3649
232,3463
233,3378
234,3484
235,3688
236,3560
237,3410
238,3517
239,3475
240,3535
